District,WorkOrderNum,DeviationName,DeviationShort
RIYADH,2512000174,MUNICIPALITY PERMITS ARE VALID AND RENEWED AS REQUIRED?,Municipality permits valid
JEDDAH,2521002431,PEDESTRIAN PASSES PLACED EVERY 100M IN FRONT OF CUSTOMER HOUSES AS REQUIRED,Pedestrian passes placed every 100m
JEDDAH,2521002431,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
RIYADH,2512000174,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
RIYADH,2512000174,"ALL DAMAGE TO PROPERTY (TILES, CURBS, WALLS, ASPHALT) HAS BEEN REPAIRED TO ORIGINAL STATE OR AS PER CUSTOMER REQUEST AT WORK COMPLETION ?",Damage repaired to original state
JEDDAH,2521002431,PEDESTRIAN PASSES PLACED EVERY 100M IN FRONT OF CUSTOMER HOUSES AS REQUIRED,Pedestrian passes placed every 100m
JEDDAH,2521002431,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
JEDDAH,2521002431,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
TAIF,2523000336,"ALL DAMAGE TO PROPERTY (TILES, CURBS, WALLS, ASPHALT) HAS BEEN REPAIRED TO ORIGINAL STATE OR AS PER CUSTOMER REQUEST AT WORK COMPLETION ?",Damage repaired to original state
RIYADH,2512000174,MUNICIPALITY PERMITS ARE VALID AND RENEWED AS REQUIRED?,Municipality permits valid
JEDDAH,2521002431,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
JEDDAH,2521002431,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
JEDDAH,2521001662,MUNICIPALITY PERMITS ARE VALID AND RENEWED AS REQUIRED?,Municipality permits valid
RIYADH,2511005297,HAVE ALL STC SAFETY MEASUREMENTS BEEN FOLLOWED?,STC safety measures followed
RIYADH,2512000174,MUNICIPALITY PERMITS ARE VALID AND RENEWED AS REQUIRED?,Municipality permits valid
RIYADH,2512000174,"ALL DAMAGE TO PROPERTY (TILES, CURBS, WALLS, ASPHALT) HAS BEEN REPAIRED TO ORIGINAL STATE OR AS PER CUSTOMER REQUEST AT WORK COMPLETION ?",Damage repaired to original state
YANBU,2442000043,PEDESTRIAN PASSES PLACED EVERY 100M IN FRONT OF CUSTOMER HOUSES AS REQUIRED,Pedestrian passes placed every 100m
JEDDAH,2521001661,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
RIYADH,2512000178,"ALL DAMAGE TO PROPERTY (TILES, CURBS, WALLS, ASPHALT) HAS BEEN REPAIRED TO ORIGINAL STATE OR AS PER CUSTOMER REQUEST AT WORK COMPLETION ?",Damage repaired to original state
YANBU,2542000005,NO DEBRIS IS REMAINING ON THE SITE?,No debris remaining on site
